Country,Latitude,Longitude,Province
Canada,53.01669802,-112.8166386,Alberta
Canada,49.09996035,-116.516697,British Columbia
Canada,50.15002545,-96.88332178,Manitoba
Canada,45.26704185,-66.07667505,New Brunswick
Canada,49.17440025,-57.42691878,Newfoundland and Labrador
Canada,62.40005292,-110.7333291,Northwest Territories
Canada,45.58327578,-62.63331934,Nova Scotia
Canada,68.76746684,-81.23608303,Nunavut
Canada,44.56664532,-80.84998519,Ontario
Canada,46.24928164,-63.13132512,Prince Edward Island
Canada,49.82257774,-64.34799504,Quebec
Canada,50.93331097,-102.7999891,Saskatchewan
Canada,61.35037539,-139.0000017,Yukon
