country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,latitude,longitude
canada,manitoba,10-04-2023,02-04-2023,19,34,50,blue jays,sports,50.15002545,-96.88332178
canada,nova scotia,10-04-2023,02-04-2023,19,37,50,blue jays,sports,45.58327578,-62.63331934
canada,nunavut,10-04-2023,02-04-2023,14,52,130,blue jays score,sports,68.76746684,-81.23608303
canada,alberta,10-04-2023,02-04-2023,13,6,140,david suzuki,people,53.01669802,-112.8166386
canada,ontario,10-04-2023,02-04-2023,13,27,140,david suzuki,people,44.56664532,-80.84998519
canada,alberta,10-04-2023,02-04-2023,18,24,70,edmonton oilers,sports,53.01669802,-112.8166386
canada,british columbia,10-04-2023,02-04-2023,18,35,70,edmonton oilers,sports,49.09996035,-116.516697
canada,british columbia,10-04-2023,02-04-2023,9,52,250,epl,sports,49.09996035,-116.516697
canada,manitoba,10-04-2023,02-04-2023,9,40,250,epl,sports,50.15002545,-96.88332178
canada,nova scotia,10-04-2023,02-04-2023,9,31,250,epl,sports,45.58327578,-62.63331934
canada,british columbia,10-04-2023,02-04-2023,11,32,160,lakers,sports,49.09996035,-116.516697
canada,prince edward island,10-04-2023,02-04-2023,11,100,160,lakers,sports,46.24928164,-63.13132512
canada,prince edward island,10-04-2023,02-04-2023,7,16,250,lotto max,entertainment,46.24928164,-63.13132512
canada,british columbia,10-04-2023,02-04-2023,4,13,250,lotto max winning numbers,entertainment,49.09996035,-116.516697
canada,newfoundland and labrador,10-04-2023,02-04-2023,4,12,250,lotto max winning numbers,entertainment,49.17440025,-57.42691878
canada,ontario,10-04-2023,02-04-2023,4,16,250,lotto max winning numbers,entertainment,44.56664532,-80.84998519
canada,british columbia,10-04-2023,02-04-2023,21,28,40,mlb scores,sports,49.09996035,-116.516697
canada,british columbia,10-04-2023,02-04-2023,20,100,50,nba standings,sports,49.09996035,-116.516697
canada,nova scotia,10-04-2023,02-04-2023,20,54,50,nba standings,sports,45.58327578,-62.63331934
canada,british columbia,10-04-2023,02-04-2023,5,56,250,premier league,sports,49.09996035,-116.516697
canada,nova scotia,10-04-2023,02-04-2023,5,54,250,premier league,sports,45.58327578,-62.63331934
canada,ontario,10-04-2023,02-04-2023,5,60,250,premier league,sports,44.56664532,-80.84998519
canada,newfoundland and labrador,10-04-2023,02-04-2023,8,29,250,psg,sports,49.17440025,-57.42691878
canada,alberta,10-04-2023,02-04-2023,22,3,40,raptors,sports,53.01669802,-112.8166386
canada,new brunswick,10-04-2023,02-04-2023,22,5,40,raptors,sports,45.26704185,-66.07667505
canada,british columbia,10-04-2023,02-04-2023,23,42,40,toronto blue jays,sports,49.09996035,-116.516697
canada,newfoundland and labrador,10-04-2023,02-04-2023,23,38,40,toronto blue jays,sports,49.17440025,-57.42691878
canada,british columbia,10-04-2023,02-04-2023,15,17,130,ufc,sports,49.09996035,-116.516697
canada,manitoba,10-04-2023,02-04-2023,3,32,600,ufc tonight,sports,50.15002545,-96.88332178
canada,british columbia,10-04-2023,02-04-2023,16,100,120,whl scores,sports,49.09996035,-116.516697
canada,manitoba,10-04-2023,02-04-2023,16,61,120,whl scores,sports,50.15002545,-96.88332178
canada,saskatchewan,10-04-2023,02-04-2023,16,100,120,whl scores,sports,50.93331097,-102.7999891
canada,ontario,10-04-2023,02-04-2023,19,34,50,blue jays,sports,44.56664532,-80.84998519
canada,saskatchewan,10-04-2023,02-04-2023,19,40,50,blue jays,sports,50.93331097,-102.7999891
canada,manitoba,10-04-2023,02-04-2023,14,39,130,blue jays score,sports,50.15002545,-96.88332178
canada,saskatchewan,10-04-2023,02-04-2023,18,42,70,edmonton oilers,sports,50.93331097,-102.7999891
canada,ontario,10-04-2023,02-04-2023,9,51,250,epl,sports,44.56664532,-80.84998519
canada,alberta,10-04-2023,02-04-2023,11,36,160,lakers,sports,53.01669802,-112.8166386
canada,manitoba,10-04-2023,02-04-2023,11,24,160,lakers,sports,50.15002545,-96.88332178
canada,ontario,10-04-2023,02-04-2023,7,8,250,lotto max,entertainment,44.56664532,-80.84998519
canada,manitoba,10-04-2023,02-04-2023,4,20,250,lotto max winning numbers,entertainment,50.15002545,-96.88332178
canada,newfoundland and labrador,10-04-2023,02-04-2023,21,28,40,mlb scores,sports,49.17440025,-57.42691878
