country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,Country,latitude,longitude
canada,manitoba,2023-04-10,2023-04-02,19,34,50,blue jays,sports,Canada,50.15002545,-96.88332178
canada,nova scotia,2023-04-10,2023-04-02,19,37,50,blue jays,sports,Canada,45.58327578,-62.63331934
canada,nunavut,2023-04-10,2023-04-02,14,52,130,blue jays score,sports,Canada,68.76746684,-81.23608303
canada,alberta,2023-04-10,2023-04-02,13,6,140,david suzuki,people,Canada,53.01669802,-112.8166386
canada,ontario,2023-04-10,2023-04-02,13,27,140,david suzuki,people,Canada,44.56664532,-80.84998519
canada,alberta,2023-04-10,2023-04-02,18,24,70,edmonton oilers,sports,Canada,53.01669802,-112.8166386
canada,british columbia,2023-04-10,2023-04-02,18,35,70,edmonton oilers,sports,Canada,49.09996035,-116.516697
canada,british columbia,2023-04-10,2023-04-02,9,52,250,epl,sports,Canada,49.09996035,-116.516697
canada,manitoba,2023-04-10,2023-04-02,9,40,250,epl,sports,Canada,50.15002545,-96.88332178
canada,nova scotia,2023-04-10,2023-04-02,9,31,250,epl,sports,Canada,45.58327578,-62.63331934
canada,british columbia,2023-04-10,2023-04-02,11,32,160,lakers,sports,Canada,49.09996035,-116.516697
canada,prince edward island,2023-04-10,2023-04-02,11,100,160,lakers,sports,Canada,46.24928164,-63.13132512
canada,prince edward island,2023-04-10,2023-04-02,7,16,250,lotto max,entertainment,Canada,46.24928164,-63.13132512
canada,british columbia,2023-04-10,2023-04-02,4,13,250,lotto max winning numbers,entertainment,Canada,49.09996035,-116.516697
canada,newfoundland and labrador,2023-04-10,2023-04-02,4,12,250,lotto max winning numbers,entertainment,Canada,49.17440025,-57.42691878
canada,ontario,2023-04-10,2023-04-02,4,16,250,lotto max winning numbers,entertainment,Canada,44.56664532,-80.84998519
canada,british columbia,2023-04-10,2023-04-02,21,28,40,mlb scores,sports,Canada,49.09996035,-116.516697
canada,british columbia,2023-04-10,2023-04-02,20,100,50,nba standings,sports,Canada,49.09996035,-116.516697
canada,nova scotia,2023-04-10,2023-04-02,20,54,50,nba standings,sports,Canada,45.58327578,-62.63331934
canada,british columbia,2023-04-10,2023-04-02,5,56,250,premier league,sports,Canada,49.09996035,-116.516697
canada,nova scotia,2023-04-10,2023-04-02,5,54,250,premier league,sports,Canada,45.58327578,-62.63331934
canada,ontario,2023-04-10,2023-04-02,5,60,250,premier league,sports,Canada,44.56664532,-80.84998519
canada,newfoundland and labrador,2023-04-10,2023-04-02,8,29,250,psg,sports,Canada,49.17440025,-57.42691878
canada,alberta,2023-04-10,2023-04-02,22,3,40,raptors,sports,Canada,53.01669802,-112.8166386
canada,new brunswick,2023-04-10,2023-04-02,22,5,40,raptors,sports,Canada,45.26704185,-66.07667505
canada,british columbia,2023-04-10,2023-04-02,23,42,40,toronto blue jays,sports,Canada,49.09996035,-116.516697
canada,newfoundland and labrador,2023-04-10,2023-04-02,23,38,40,toronto blue jays,sports,Canada,49.17440025,-57.42691878
canada,british columbia,2023-04-10,2023-04-02,15,17,130,ufc,sports,Canada,49.09996035,-116.516697
canada,manitoba,2023-04-10,2023-04-02,3,32,600,ufc tonight,sports,Canada,50.15002545,-96.88332178
canada,british columbia,2023-04-10,2023-04-02,16,100,120,whl scores,sports,Canada,49.09996035,-116.516697
canada,manitoba,2023-04-10,2023-04-02,16,61,120,whl scores,sports,Canada,50.15002545,-96.88332178
